,center x,center y,center z,number,O1 num1,O1 num2,O1 num3,O1 num4
0,47.13,13.044163635515488,0.2515887136254238,1.0,0.0,22.0,63.0,1250.0
1,58.956,48.20425,19.06025,2.0,1.0,17.0,33.0,57.0
2,54.45575,45.606,32.24825,3.0,1.0,21.0,46.0,62.0
3,39.80425,45.606,32.24825,4.0,2.0,23.0,62.0,1294.0
4,47.13,4.585740906546469,12.21425,5.0,3.0,20.0,63.0,1222.0
5,27.536,38.523,12.21425,6.0,4.0,14.0,67.0,1112.0
6,66.72375,24.357,32.24825,7.0,5.0,13.0,43.0,66.0
7,58.956,34.038,39.09375,8.0,5.0,21.0,25.0,59.0
8,59.398,11.66849090654647,32.24825,9.0,6.0,15.0,66.0,1170.0
9,34.86175,34.29316363551549,0.2515887136254238,10.0,7.0,12.0,67.0,1146.0
10,34.86175,11.66849090654647,32.24825,11.0,8.0,18.0,64.0,1092.0
11,71.22425,26.955250000000003,19.06025,12.0,9.0,13.0,29.0,61.0
12,66.72375,38.523,12.21425,13.0,9.0,17.0,36.0,65.0
13,59.398,34.29316363551549,0.2515887136254238,14.0,10.0,19.0,65.0,1042.0
14,27.536,24.357,32.24825,15.0,11.0,16.0,64.0,1060.0
15,27.23975,15.727,11.12075,16.0,24.0,28.0,32.0,49.0
16,47.13,27.21025,43.601,17.0,25.0,30.0,35.0,48.0
17,47.13,50.1775,11.12075,18.0,26.0,31.0,33.0,51.0
18,67.02025,15.727,11.12075,19.0,27.0,29.0,34.0,50.0
19,78.55,45.350750000000005,7.70725,20.0,36.0,40.0,44.0,53.0
20,98.44025,56.8345,40.18825,21.0,37.0,42.0,47.0,52.0
21,78.55,22.3835,40.18825,22.0,38.0,43.0,45.0,55.0
22,58.65975,56.8345,40.18825,23.0,39.0,41.0,46.0,54.0
23,15.709999999999996,9.070154542061958,6.413838713625424,24.0,49.0,1328.0,1372.0,1404.0
24,109.97,63.49134545793804,44.89516128637458,25.0,52.0,1459.0,1493.0,1513.0
25,90.818,38.26750909345353,51.056983859123726,26.0,56.0,81.0,575.0,965.0
26,98.14375,34.038000000000004,39.09375,27.0,56.0,141.0,505.0,999.0
27,66.28175,60.89302728036059,19.06025,28.0,57.0,161.0,551.0,915.0
28,98.14375,48.20425,19.06025,29.0,58.0,193.0,687.0,765.0
29,90.818,60.89302728036059,19.06025,30.0,58.0,239.0,603.0,785.0
30,66.28175,38.26750909345353,51.056983859123726,31.0,59.0,263.0,653.0,705.0
31,78.55000000000001,67.9760272803606,39.09375,32.0,60.0,291.0,473.0,863.0
